Carrier_Name,Carrier_Full_Name,Service_Type,Week_Date,Year,Month,Month_Name,Week_of_Year,Quarter,Season,Fiscal_Year,Bus_Departures,Passenger_Departures,Passengers_Per_Bus,Baseline_2019_Buses,Baseline_2019_Passengers,Bus_Recovery_Percent,Passenger_Recovery_Percent,Bus_WoW_Change,Passenger_WoW_Change,Bus_4wk_MA,Passenger_4wk_MA,Bus_12wk_MA,Passenger_12wk_MA,COVID_Period,Days_Since_Pandemic_Start,Is_COVID_Period,Economic_Period,Is_High_Inflation,Avg_Temp_F,Precipitation_Inches,Snow_Inches,Weather_Condition,Major_Weather_Event,Is_Severe_Weather,Is_Snow_Week,Is_Hot_Week,Is_Cold_Week,Is_Holiday,Is_Holiday_Season,NYC_Event,Is_Tourism_Peak
Academy,Academy Bus,Regional,12/7/2020,2020,12,December,50,4,Winter,2021,37,613,16.56756757,113,4152,-67.25663717,-85.23603083,,,37,613,37,613,COVID-Winter-2020,267,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
C & J Bus Lines,C&J Bus Lines (Ceased),Intercity,12/7/2020,2020,12,December,50,4,Winter,2021,1,8,8,3,55,-66.66666667,-85.45454545,,,1,8,1,8,COVID-Winter-2020,267,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Coach USA,Coach USA Inc,Commuter,12/7/2020,2020,12,December,50,4,Winter,2021,83,1605,19.3373494,460,14129,-81.95652174,-88.64038502,,,83,1605,83,1605,COVID-Winter-2020,267,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Greyhound,Greyhound Lines,Intercity,12/7/2020,2020,12,December,50,4,Winter,2021,33,702,21.27272727,118,3262,-72.03389831,-78.47946045,,,33,702,33,702,COVID-Winter-2020,267,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
HCEE - Community,HCEE Community Coach,Commuter,12/7/2020,2020,12,December,50,4,Winter,2021,74,1199,16.2027027,295,5504,-74.91525424,-78.21584302,,,74,1199,74,1199,COVID-Winter-2020,267,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Lakeland,Lakeland Bus,Regional,12/7/2020,2020,12,December,50,4,Winter,2021,13,280,21.53846154,75,2819,-82.66666667,-90.06739979,,,13,280,13,280,COVID-Winter-2020,267,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Martz,Martz Group,Regional,12/7/2020,2020,12,December,50,4,Winter,2021,14,475,33.92857143,47,1771,-70.21276596,-73.17899492,,,14,475,14,475,COVID-Winter-2020,267,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
NJ Transit,NJ Transit Corporation,Commuter,12/7/2020,2020,12,December,50,4,Winter,2021,2199,27174,12.3574352,2500,86541,-12.04,-68.5998544,,,2199,27174,2199,27174,COVID-Winter-2020,267,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Peter Pan/Bonanza,Peter Pan/Bonanza,Intercity,12/7/2020,2020,12,December,50,4,Winter,2021,12,251,20.91666667,44,1048,-72.72727273,-76.04961832,,,12,251,12,251,COVID-Winter-2020,267,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
Trailways,Trailways System,Intercity,12/7/2020,2020,12,December,50,4,Winter,2021,11,188,17.09090909,35,752,-68.57142857,-75,,,11,188,11,188,COVID-Winter-2020,267,TRUE,COVID-Recession,FALSE,38,4.4,4.9,Cold/Snowy,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE
