Year,Month,Month_Name,Avg_Weekly,Total_Monthly,Weeks
2030,7,July,233941.63620844152,935766.5448337661,4
2030,6,June,233000.47525838236,1165002.3762919118,5
2030,5,May,228386.87812123046,913547.5124849218,4
2030,3,March,227951.83771422884,1139759.1885711441,5
2030,2,February,225968.62616622826,903874.504664913,4
2030,4,April,225538.3639572833,902153.4558291332,4
2030,1,January,224061.61772264753,896246.4708905901,4
2029,12,December,223746.32819617065,1118731.6409808532,5
2029,11,November,220235.79815897936,880943.1926359175,4
2029,10,October,217169.69652740654,868678.7861096262,4
2029,9,September,213206.1434936002,1066030.717468001,5
2029,8,August,210971.1114732525,843884.44589301,4
2029,7,July,207846.56811504174,1039232.8405752087,5
2029,6,June,206521.87974967278,826087.5189986911,4
2029,5,May,202229.5764975638,808918.3059902552,4
2029,3,March,201518.21845913868,806072.8738365547,4
2029,4,April,200066.30114077902,1000331.5057038951,5
2029,2,February,199852.76820876944,799411.0728350778,4
2029,1,January,197950.2789855089,791801.1159420356,4
2028,12,December,197680.78800407134,988403.9400203567,5
2028,11,November,194142.7912927961,776571.1651711843,4
2028,10,October,190926.89458707083,954634.4729353541,5
2028,9,September,186344.5969143319,745378.3876573276,4
2028,8,August,184895.56680061543,739582.2672024617,4
2028,7,July,181844.89247034275,909224.4623517137,5
2028,6,June,180384.2068108111,721536.8272432444,4
2028,5,May,176155.79738874905,704623.1895549962,4
2028,3,March,175320.6068319079,701282.4273276316,4
2028,4,April,174150.7254177893,870753.6270889465,5
2028,2,February,173646.58159419676,694586.326376787,4
2028,1,January,171724.8862624003,858624.4313120015,5
2027,12,December,171215.84894163272,684863.3957665309,4
2027,11,November,167863.59820277145,671454.3928110858,4
2027,10,October,164625.08501301374,823125.4250650686,5
2027,9,September,159981.5191461157,639926.0765844628,4
2027,8,August,158186.34153905968,790931.7076952984,5
2027,7,July,154920.04114281497,619680.1645712599,4
2027,6,June,154247.71642584386,616990.8657033754,4
2027,5,May,149535.6643242953,747678.3216214764,5
2027,3,March,149375.6133136888,597502.4532547552,4
2027,2,February,147728.9841243909,590915.9364975636,4
2027,4,April,147026.4201129876,588105.6804519504,4
2026,12,December,145887.91647088344,583551.6658835338,4
2027,1,January,145886.06600895346,729430.3300447674,5
2026,11,November,141877.765108502,709388.82554251,5
2026,10,October,138598.28039519247,554393.1215807699,4
2026,9,September,134565.16995452106,538260.6798180842,4
2026,8,August,132851.72228039068,664258.6114019534,5
2026,7,July,130142.06847940596,520568.27391762385,4
2026,6,June,128107.44792407616,512429.79169630463,4
2026,5,May,124436.27239879235,622181.3619939617,5
2026,4,April,123070.98943287875,492283.957731515,4
2026,3,March,122320.71364053545,611603.5682026773,5
2026,2,February,120800.81709662077,483203.2683864831,4
2026,1,January,118304.67727962704,473218.70911850815,4
