Factor,Correlation,P_Value,Abs_Correlation,Significant,Category
Recovery_Rate,0.9999999999999999,0.0,0.9999999999999999,True,Recovery/Trend
Passengers_Commuter,0.9992503241371804,1.8790108779320074e-144,0.9992503241371804,True,Service Type
Passengers_NJ_Transit,0.9980596154003966,1.3139919247024352e-123,0.9980596154003966,True,Carrier-Specific
Passengers_MA4,0.9694110356331377,1.9812267000981108e-63,0.9694110356331377,True,Historical/Lagged
Passengers_MA4,0.9694110356331377,1.9812267000981108e-63,0.9694110356331377,True,Historical/Lagged
Passengers_MA12,0.9392449455823145,1.0512980222365809e-48,0.9392449455823145,True,Historical/Lagged
Passengers_MA12,0.9392449455823145,1.0512980222365809e-48,0.9392449455823145,True,Historical/Lagged
Passengers_Lag1,0.9268626177391367,9.015779283100158e-45,0.9268626177391367,True,Historical/Lagged
Passengers_Lag1,0.9268626177391367,9.015779283100158e-45,0.9268626177391367,True,Historical/Lagged
Bus_Departures,0.9258541660169387,1.755192932676076e-44,0.9258541660169387,True,Service Capacity
Passengers_Lag4,0.9094196160920371,2.8497533160460277e-40,0.9094196160920371,True,Historical/Lagged
Passengers_Lag4,0.9094196160920371,2.8497533160460277e-40,0.9094196160920371,True,Historical/Lagged
Passengers_Regional,0.9086254183913764,4.340218039060657e-40,0.9086254183913764,True,Service Type
Days_Since_Pandemic_Start,0.9022630908265571,1.1054449430938058e-38,0.9022630908265571,True,Recovery/Trend
Passengers_Coach_USA,0.8951028935907125,3.2719350784445903e-37,0.8951028935907125,True,Carrier-Specific
Bus_Recovery_Percent,0.8927715816176832,9.35418986281713e-37,0.8927715816176832,True,Recovery/Trend
Passenger_Recovery_Percent,0.8736085082274486,2.307392965497748e-33,0.8736085082274486,True,Recovery/Trend
Passengers_Academy,0.8131215380948265,1.7812105073163538e-25,0.8131215380948265,True,Carrier-Specific
Is_High_Inflation,-0.7675866112757674,3.1593480269768002e-21,0.7675866112757674,True,Economic
Passengers_Per_Bus,0.7117529227637347,3.542108169644387e-17,0.7117529227637347,True,Service Capacity
Passengers_Per_Bus,0.7117529227637347,3.542108169644387e-17,0.7117529227637347,True,Service Capacity
Passengers_Intercity,0.5710841542065699,2.9960298471976133e-10,0.5710841542065699,True,Service Type
Passengers_HCEE_-_Community,0.5359064351129615,5.4288297298244086e-09,0.5359064351129615,True,Carrier-Specific
Snow_Inches,-0.4180293226101051,1.1144224532223349e-05,0.4180293226101051,True,Weather
Is_Winter,-0.3618714332080342,0.00017272355934234862,0.3618714332080342,True,Calendar/Seasonal
Is_Snow_Week,-0.3501813993865819,0.00028773492872468537,0.3501813993865819,True,Weather
Avg_Temp_F,0.344204562844116,0.00037072292594753835,0.344204562844116,True,Weather
Is_Q1,-0.3428024810645848,0.0003931447959191163,0.3428024810645848,True,Calendar/Seasonal
Is_Cold_Week,-0.3425163540366348,0.00039787112406604514,0.3425163540366348,True,Weather
Week_of_Year,0.33556722545045364,0.0005300041576622416,0.33556722545045364,True,Calendar/Seasonal
Month,0.31992945957846197,0.0009865417211113049,0.31992945957846197,True,Calendar/Seasonal
Quarter,0.29505767118494697,0.0024811985309469834,0.29505767118494697,True,Calendar/Seasonal
Passengers_Greyhound,0.28627098332079726,0.0033734223570107864,0.28627098332079726,True,Carrier-Specific
Is_Q3,0.18360303502166478,0.0633907207439842,0.18360303502166478,False,Calendar/Seasonal
Passenger_WoW_Change,0.16472261411826455,0.09636685209758791,0.16472261411826455,False,Historical/Lagged
Is_Summer,0.15064374177596213,0.12879010215772996,0.15064374177596213,False,Calendar/Seasonal
Is_Q4,0.10172297315796378,0.30657691283269883,0.10172297315796378,False,Calendar/Seasonal
Is_Hot_Week,0.09460911466709981,0.3418106143050358,0.09460911466709981,False,Weather
Is_Q2,0.09085697451366904,0.361382591305166,0.09085697451366904,False,Calendar/Seasonal
Is_Tourism_Peak,0.07969649616794969,0.423575275688443,0.07969649616794969,False,Calendar/Seasonal
Precipitation_Inches,-0.060862512949587604,0.5413881336345394,0.060862512949587604,False,Weather
Is_Severe_Weather,-0.0599419275480414,0.5475330091387035,0.0599419275480414,False,Weather
Is_Holiday_Season,0.01013660148518981,0.9190564342883139,0.01013660148518981,False,Calendar/Seasonal
