ds,yhat,yhat_upper,Year,Month
2029-10-21,128748.2026941596,145045.2460299375,2029,10
2030-07-21,128512.66343051895,149801.7044444273,2030,7
2029-10-28,127281.68069604735,144019.06607457003,2029,10
2030-06-16,127250.42387739831,148512.905573261,2030,6
2030-06-23,127128.16423534922,147928.3485254369,2030,6
2030-06-09,126996.16792518827,148257.82264548057,2030,6
2030-06-02,126849.6649920355,146840.14375006425,2030,6
2030-05-26,126715.78191550369,146976.83758783393,2030,5
2030-07-14,126687.21609384158,148025.3440995225,2030,7
2030-05-19,125786.52390102624,145952.25218410153,2030,5
2029-10-14,125658.22631996966,141945.41235695995,2029,10
2030-05-05,125528.82476819473,145361.595637376,2030,5
2030-07-07,125386.08693372819,146703.96987024462,2030,7
2030-04-21,125380.63769058914,145377.75384232402,2030,4
2030-04-28,125294.69153056634,145245.75004792892,2030,4
2030-05-12,125180.21597261065,145605.0027709986,2030,5
2030-06-30,125138.26447029252,145716.36960815417,2030,6
2029-09-16,125123.05937798099,141489.52075008306,2029,9
2029-09-23,124613.05621744931,141174.9072282793,2029,9
2029-11-04,124578.03421257625,141807.53134139726,2029,11
