Week_Date,Forecasted_Passengers,Lower_Bound_95,Upper_Bound_95,Year,Month
2026-01-04,115189.07825530815,94622.46912923398,135755.68738138233,2026,1
2026-01-11,114275.57137421548,93360.23286858074,135190.90987985022,2026,1
2026-01-18,117440.16553910087,96181.81756263258,138698.51351556915,2026,1
2026-01-25,118807.83516492957,97211.92507560822,140403.7452542509,2026,1
2026-02-01,117495.97159758532,95567.69518347408,139424.24801169656,2026,2
2026-02-08,116222.09533871063,93966.41560495872,138477.77507246254,2026,2
2026-02-15,121003.92572674024,98425.58977515674,143582.26167832373,2026,2
2026-02-22,118171.30763046688,95274.86187362665,141067.7533873071,2026,2
2026-03-01,122128.5899180511,98918.39383339153,145338.78600271067,2026,3
2026-03-08,119499.35724237494,95979.59584154718,143019.1186432027,2026,3
2026-03-15,123692.44865322408,99867.1438168373,147517.75348961086,2026,3
2026-03-22,119471.31941079859,95344.34021763984,143598.29860395734,2026,3
2026-03-29,122474.17650169974,98049.2486636975,146899.10433970197,2026,3
2026-04-05,122492.06717284149,97772.78167172111,147211.35267396187,2026,4
2026-04-12,137063.54739102683,112053.36839898821,162073.72638306546,2026,4
2026-04-19,121142.12796512223,95844.40011887188,146439.85581137257,2026,4
2026-04-26,133016.0172883037,107433.97237149713,158598.06220511027,2026,4
2026-05-03,130891.88613944648,105028.64920912628,156755.12306976668,2026,5
2026-05-10,126779.49269282987,100638.0876520204,152920.8977336393,2026,5
2026-05-17,127381.82971670115,100965.18426764126,153798.47516576102,2026,5
2026-05-24,123260.64458483634,96571.59434759038,149949.6948220823,2026,5
2026-05-31,127289.89361560206,100331.18485148094,154248.6023797232,2026,5
2026-06-07,127182.95472727888,99957.2442948216,154408.66515973615,2026,6
2026-06-14,126933.19497140154,99443.0442163992,154423.34572640387,2026,6
2026-06-21,129443.40117871741,101691.25586318586,157195.54649424896,2026,6
2026-06-28,129363.37140025465,101351.50876466717,157375.23403584212,2026,6
2026-07-05,131023.1449862992,102753.5425721638,159292.7474004346,2026,7
2026-07-12,130976.78527868865,102450.80222193767,159502.7683354396,2026,7
2026-07-19,138991.85343210257,110209.4592892708,167774.24757493433,2026,7
2026-07-26,132633.3524360749,103591.25283008469,161675.4520420651,2026,7
2026-08-02,134949.32905700878,105636.34393077166,164262.3141832459,2026,8
2026-08-09,136959.43596871936,107639.09868226669,166279.77325517204,2026,8
2026-08-16,136447.7785338093,106960.52522432852,165935.03184329005,2026,8
2026-08-23,137259.64941521012,107730.47027946931,166788.82855095092,2026,8
2026-08-30,128991.21575343104,99390.86145190646,158591.57005495563,2026,8
2026-09-06,137615.3583354723,107953.25971270149,167277.4569582431,2026,9
2026-09-13,138183.550176769,108457.10536968241,167909.99498385558,2026,9
2026-09-20,137647.0039147285,107857.16159401018,167436.84623544684,2026,9
2026-09-27,133013.58453806821,103160.23463113542,162866.934445001,2026,9
2026-10-04,141049.9492662232,111133.29790485339,170966.60062759303,2026,10
2026-10-11,136621.26876884614,106641.42761098311,166601.10992670918,2026,10
2026-10-18,141250.13079793061,111207.2389677743,171293.0226280869,2026,10
2026-10-25,140703.19840512105,110597.38593637408,170809.010873868,2026,10
2026-11-01,140316.43811094444,110147.83675598635,170485.03946590252,2026,11
2026-11-08,143502.42138536865,113271.1613598235,173733.68141091382,2026,11
2026-11-15,143914.69532538965,113620.9062689837,174208.4843817956,2026,11
2026-11-22,141471.8792496205,111115.68994096693,171828.0685582741,2026,11
2026-11-29,142167.2976397802,111748.83608745447,172585.75919210596,2026,11
2026-12-06,145607.47178518734,115126.86520884284,176088.07836153184,2026,12
2026-12-13,149799.23103039144,119256.60587563904,180341.85618514384,2026,12
2026-12-20,148936.55883370372,118332.0407773385,179541.07689006894,2026,12
2026-12-27,148936.41715048588,118270.13110872755,179602.70319224423,2026,12
2027-01-03,146445.47612577968,115717.54626161628,177173.40598994307,2027,1
2027-01-10,146254.856219021,115465.40594975502,177044.30648828697,2027,1
2027-01-17,143121.00292966093,112270.15493429733,173971.85092502454,2027,1
2027-01-24,143950.73996024442,113038.61618681182,174862.86373367702,2027,1
2027-01-31,148581.74143880268,117608.46311157322,179555.01976603214,2027,1
2027-02-07,151226.31599532324,120192.00362193807,182260.62836870842,2027,2
2027-02-14,143838.38276771567,112743.15614621306,174933.60938921827,2027,2
2027-02-21,148653.85071878214,117497.8289445289,179809.8724930354,2027,2
2027-02-28,144715.34981948513,113498.65129201046,175932.0483469598,2027,2
2027-03-07,150660.25848354574,119383.00091327616,181937.5160538153,2027,3
2027-03-14,146034.93079503512,114697.23120992571,177372.63038014452,2027,3
2027-03-21,152777.08553284843,121379.06028490022,184175.11078079665,2027,3
2027-03-28,144961.5691972911,113503.33396893217,176419.80442565,2027,3
2027-04-04,150121.94066472296,118603.61047500574,181640.27085444017,2027,4
2027-04-11,130703.66471781503,99125.35392832731,162281.97550730273,2027,4
2027-04-18,147204.8814499401,115566.7037702074,178843.05912967277,2027,4
2027-04-25,138796.8749171143,107098.94340900166,170494.80642522694,2027,4
2027-05-02,142396.60386257104,110639.03094257842,174154.17678256365,2027,5
2027-05-09,142023.41661583018,110206.31405275794,173840.51917890244,2027,5
2027-05-16,147159.51727557287,115282.99617772081,179036.03837342493,2027,5
2027-05-23,149835.1054613267,117899.27623958199,181770.9346830714,2027,5
2027-05-30,149010.18164632714,117015.15392095817,181005.2093716961,2027,5
2027-06-06,151308.59726637058,119254.47964109287,183362.71489164827,2027,6
2027-06-13,154277.21579109802,122164.11531190062,186390.3162702954,2027,6
2027-06-20,152058.18561784024,119886.20647895055,184230.1647567299,2027,6
2027-06-27,152293.5724758496,120062.81292015109,184524.33203154808,2027,6
2027-07-04,153444.07354679785,121154.61842210218,185733.52867149352,2027,7
2027-07-11,154142.93223788159,121794.83507395313,186491.02940181002,2027,7
2027-07-18,140946.84659719793,108540.08634388054,173353.60685051532,2027,7
2027-07-25,155173.60129960804,122707.97762343811,187639.22497577796,2027,7
2027-08-01,152418.20155498624,119893.08047368035,184943.32263629214,2027,8
2027-08-08,148089.43837195635,113484.41993137178,182694.4568125409,2027,8
2027-08-15,160937.85965883668,126165.53800338501,195710.18131428835,2027,8
2027-08-22,147005.02969727365,111745.0394121886,182265.0199823587,2027,8
2027-08-29,151410.11810319198,115793.42202402613,187026.81418235783,2027,8
2027-09-05,148335.72977107222,112329.3810527455,184342.07848939893,2027,9
2027-09-12,150696.27192990974,114315.00075327835,187077.54310654112,2027,9
2027-09-19,153944.24097642337,117188.66274562135,190699.8192072254,2027,9
2027-09-26,156121.85532061642,118996.65020592583,193247.060435307,2027,9
2027-10-03,155127.92133479225,117636.44659145479,192619.3960781297,2027,10
2027-10-10,157744.9838764653,119890.85967282948,195599.1080801011,2027,10
2027-10-17,158497.04636905497,120283.68765211623,196710.4050859937,2027,10
2027-10-24,158412.24482620874,119843.00337328826,196981.48627912923,2027,10
2027-10-31,162277.0667441329,123355.19377784501,201198.9397104208,2027,10
2027-11-07,161682.77264110453,122411.43479238598,200954.1104898231,2027,11
2027-11-14,161603.81769040454,121986.09711938202,201221.53826142708,2027,11
2027-11-21,162608.36678589397,122647.26580822066,202569.46776356729,2027,11
2027-11-28,163259.36555851463,122957.80971077815,203560.92140625112,2027,11
2027-12-05,162841.19778399053,122202.03911467342,203480.35645330764,2027,12
2027-12-12,161898.0009646598,120924.02102707891,202871.98090224067,2027,12
2027-12-19,161897.42327571678,120591.33598909082,203203.51056234274,2027,12
2027-12-26,163917.53727609132,122281.9916185719,205553.0829336107,2027,12
2028-01-02,166201.98659869967,124239.56915636857,208164.4040410308,2028,1
2028-01-09,165361.81901256053,123075.05639011007,207648.581635011,2028,1
2028-01-16,167887.41467284356,125278.77577632837,210496.05356935874,2028,1
2028-01-23,169200.5092424484,126272.40744228047,212128.61104261634,2028,1
2028-01-30,168491.56915822785,125246.3643404113,211736.7739760444,2028,1
2028-02-06,167615.23280574824,124055.2333186084,211175.23229288807,2028,2
2028-02-13,171162.40007905837,127289.86458219725,215034.9355759195,2028,2
2028-02-20,169105.7058247829,124922.84504645926,213288.56660310653,2028,2
2028-02-27,172261.9345692943,127770.9129779475,216752.9561606411,2028,2
2028-03-05,170502.57713416615,125705.51452934704,215299.63973898525,2028,3
2028-03-12,173801.01051089147,128699.9835384273,218902.03748335564,2028,3
2028-03-19,170692.14299959803,125289.18659537093,216095.09940382512,2028,3
2028-03-26,172597.44001844092,126894.54878465438,218300.33125222745,2028,3
2028-04-02,173137.05252066036,127136.18203779802,219137.9230035227,2028,4
2028-04-09,184260.15859282465,137963.2266694405,230557.0905162088,2028,4
2028-04-16,171628.12376062357,125037.01162112394,218219.2359001232,2028,4
