Week_Date,Forecasted_Passengers,Lower_Bound_95,Upper_Bound_95,Year,Month
2026-01-04,116827.30539460445,90883.80026014149,142770.8105290674,2026,1
2026-01-11,117380.34920465227,91626.66423296763,143134.03417633692,2026,1
2026-01-18,117924.07292115275,92428.82659564634,143419.31924665917,2026,1
2026-01-25,118462.71068118734,93285.9378429917,143639.48351938298,2026,1
2026-02-01,118998.57275876983,94196.15201000514,143800.99350753453,2026,2
2026-02-08,119532.91947143218,95159.58998446766,143906.2489583967,2026,2
2026-02-15,120066.4379201199,96177.8000914887,143955.07574875111,2026,2
2026-02-22,120599.50189863922,97253.44226783802,143945.56152944043,2026,2
2026-03-01,121132.3132885162,98390.17078752094,143874.45578951147,2026,3
2026-03-08,121664.97842465492,99592.66413559002,143737.29271371983,2026,3
2026-03-15,122197.54831860629,100866.76898187248,143528.3276553401,2026,3
2026-03-22,122730.03795469053,102219.74488060191,143240.33102877915,2026,3
2026-03-29,123262.43195811112,103660.60801358882,142864.25590263342,2026,3
2026-04-05,123794.67877913543,105200.57104766533,142388.78651060554,2026,4
2026-04-12,124326.67119339462,106853.54855456686,141799.79383222238,2026,4
2026-04-19,124858.20574215705,108636.60326236239,141079.8082219517,2026,4
2026-04-26,125388.90577006126,110569.92846490613,140207.88307521638,2026,4
2026-05-03,125918.07894781718,112675.1189081863,139161.03898744806,2026,5
2026-05-10,126444.45538503485,114967.74755067997,137921.1632193897,2026,5
2026-05-17,126965.70726920728,117430.33001390316,136501.08452451142,2026,5
2026-05-24,127477.56832484435,119911.73846971171,135043.398179977,2026,5
2026-05-31,127972.22001085634,121769.9716750553,134174.46834665738,2026,5
2026-06-07,128425.59953750156,120774.35321880132,136076.8458562018,2026,6
2026-06-14,128861.76976023175,119162.57991445245,138560.95960601105,2026,6
2026-06-21,129288.54931070283,117563.65088940076,141013.44773200492,2026,6
2026-06-28,129710.20461408563,116124.20622899215,143296.2029991791,2026,6
2026-07-05,130129.06374830207,114860.96020754473,145397.1672890594,2026,7
2026-07-12,130546.39708528978,113758.51323621497,147334.28093436456,2026,7
2026-07-19,130962.89783417397,112795.59908279669,149130.19658555125,2026,7
2026-07-26,131378.94426125375,111952.30578813425,150805.58273437325,2026,7
2026-08-02,131794.74277666974,111211.76386896611,152377.72168437336,2026,8
2026-08-09,132210.40601309956,110560.16509614367,153860.64693005546,2026,8
2026-08-16,132625.99543128363,109986.3247514948,155265.66611107247,2026,8
2026-08-23,133041.54456875895,109481.18126234118,156601.90787517672,2026,8
2026-08-30,133457.07172609217,109037.35334153111,157876.7901106532,2026,8
2026-09-06,133872.58688942887,108648.78049715853,159096.39328169922,2026,9
2026-09-13,134288.09550794945,108310.4416303894,160265.7493855095,2026,9
2026-09-20,134703.60055512912,108018.13807658745,161389.0630336708,2026,9
2026-09-27,135119.10365351287,107768.327084224,162469.88022280173,2026,9
2026-10-04,135534.60568847548,107557.9938226505,163511.21755430047,2026,10
2026-10-11,135950.1071431317,107384.55251990825,164515.66176635516,2026,10
2026-10-18,136365.608281084,107245.76956821131,165485.44699395666,2026,10
2026-10-25,136781.10924613525,107139.70323014032,166422.51526213018,2026,10
2026-11-01,137196.61011668533,107064.65595209744,167328.56428127323,2026,11
2026-11-08,137612.11093538709,107019.13631717314,168205.08555360103,2026,11
2026-11-15,138027.6117252806,107001.82842636705,169053.39502419418,2026,11
2026-11-22,138443.11249850882,107011.56705290778,169874.65794410987,2026,11
2026-11-29,138858.61326091067,107047.31732244592,170669.90919937543,2026,11
2026-12-06,139503.8979422845,107608.02863540173,171399.76724916726,2026,12
2026-12-13,140269.25812982282,108359.3618268563,172179.15443278934,2026,12
2026-12-20,140929.05856122953,109010.69545508017,172847.42166737886,2026,12
2026-12-27,141531.25774286524,109723.09143238931,173339.42405334118,2026,12
2027-01-03,142102.02537541816,110514.4021762989,173689.64857453742,2027,1
2027-01-10,142655.64155791578,111374.7951729461,173936.48794288546,2027,1
2027-01-17,143199.89851605412,112293.8776027314,174105.91942937684,2027,1
2027-01-24,143739.0481648306,113265.20059521761,174212.8957344436,2027,1
2027-01-31,144275.4104790222,114285.78450665409,174265.0364513903,2027,1
2027-02-07,144810.25106927546,115355.03726407827,174265.46487447264,2027,2
2027-02-14,145344.25992422696,116473.95351508747,174214.56633336644,2027,2
2027-02-21,145877.81241227614,117644.64897955803,174110.97584499425,2027,2
2027-02-28,146411.11127206538,118870.13635232874,173952.086191802,2027,2
2027-03-07,146944.26330235926,120154.25668865927,173734.26991605927,2027,3
2027-03-14,147477.31976077773,121501.70839054247,173452.93113101297,2027,3
2027-03-21,148010.29575299914,122918.1340982066,173102.45740779166,2027,3
2027-03-28,148543.17594678013,124410.22664662018,172676.12524694006,2027,3
2027-04-04,149075.90877223285,125985.79029539265,172166.02724907306,2027,4
2027-04-11,149608.38691450097,127653.62008859019,171563.15374041174,2027,4
2027-04-18,150140.40671980413,129422.88328145692,170857.93015815134,2027,4
2027-04-25,150671.5911593901,131301.2607862143,170041.92153256593,2027,4
2027-05-02,151201.24721099346,133290.07875868076,169112.41566330616,2027,5
2027-05-09,151728.10370953285,135372.1386780075,168084.0687410582,2027,5
2027-05-16,152249.83050391675,137481.8758241508,167017.7851836827,2027,5
2027-05-23,152762.15703156163,139435.17113917263,166089.14292395063,2027,5
2027-05-30,153257.25689409827,140791.62235692103,165722.89143127552,2027,5
2027-06-06,153711.05290214883,140291.86567792142,167130.24012637624,2027,6
2027-06-13,154147.62231107705,139195.13664051163,169100.10798164248,2027,6
2027-06-20,154574.7916101987,137938.14189084113,171211.44132955628,2027,6
2027-06-27,154996.83151240632,136702.41718178586,173291.2458430268,2027,6
