Factor,Correlation,P_Value,Abs_Correlation,Significant,Category
Recovery_Rate,0.9999999999999999,0.0,0.9999999999999999,True,Recovery/Trend
Passengers_Commuter,0.9992503241371804,1.8790108779320074e-144,0.9992503241371804,True,Service Type
Passengers_NJ_Transit,0.9980596154003966,1.3139919247024352e-123,0.9980596154003966,True,Carrier-Specific
Passengers_MA4,0.9694110356331377,1.9812267000981108e-63,0.9694110356331377,True,Historical/Lagged
Passengers_MA4,0.9694110356331377,1.9812267000981108e-63,0.9694110356331377,True,Historical/Lagged
Passengers_MA12,0.9392449455823145,1.0512980222365809e-48,0.9392449455823145,True,Historical/Lagged
Passengers_MA12,0.9392449455823145,1.0512980222365809e-48,0.9392449455823145,True,Historical/Lagged
Passengers_Lag1,0.9268626177391367,9.015779283100158e-45,0.9268626177391367,True,Historical/Lagged
Passengers_Lag1,0.9268626177391367,9.015779283100158e-45,0.9268626177391367,True,Historical/Lagged
Bus_Departures,0.9258541660169387,1.755192932676076e-44,0.9258541660169387,True,Service Capacity
Passengers_Lag4,0.9094196160920371,2.8497533160460277e-40,0.9094196160920371,True,Historical/Lagged
Passengers_Lag4,0.9094196160920371,2.8497533160460277e-40,0.9094196160920371,True,Historical/Lagged
Passengers_Regional,0.9086254183913764,4.340218039060657e-40,0.9086254183913764,True,Service Type
Days_Since_Pandemic_Start,0.9022630908265571,1.1054449430938058e-38,0.9022630908265571,True,Recovery/Trend
Passengers_Coach_USA,0.8951028935907125,3.2719350784445903e-37,0.8951028935907125,True,Carrier-Specific
Bus_Recovery_Percent,0.8927715816176832,9.35418986281713e-37,0.8927715816176832,True,Recovery/Trend
Passenger_Recovery_Percent,0.8736085082274486,2.307392965497748e-33,0.8736085082274486,True,Recovery/Trend
Passengers_Academy,0.8131215380948265,1.7812105073163538e-25,0.8131215380948265,True,Carrier-Specific
Is_High_Inflation,-0.7675866112757674,3.1593480269768002e-21,0.7675866112757674,True,Economic
Passengers_Per_Bus,0.7117529227637347,3.542108169644387e-17,0.7117529227637347,True,Service Capacity
