ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,monthly,monthly_lower,monthly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Year,Month
1/4/2026,101838.0369,87906.63847,96979.49969,101392.7634,102326.4138,-9440.316031,-9440.316031,-9440.316031,-875.712855,-875.712855,-875.712855,-8564.603176,-8564.603176,-8564.603176,0,0,0,92397.72089,2026,1
1/11/2026,101936.8218,90545.99656,99271.38415,101451.7011,102454.6414,-7085.150312,-7085.150312,-7085.150312,-19.37735922,-19.37735922,-19.37735922,-7065.772953,-7065.772953,-7065.772953,0,0,0,94851.67151,2026,1
1/18/2026,102035.6067,92485.52744,101470.4511,101518.9766,102585.271,-4783.95389,-4783.95389,-4783.95389,949.4220764,949.4220764,949.4220764,-5733.375966,-5733.375966,-5733.375966,0,0,0,97251.65283,2026,1
1/25/2026,102134.3916,91985.4747,101210.0484,101586.1014,102720.1848,-5405.976158,-5405.976158,-5405.976158,-200.8740803,-200.8740803,-200.8740803,-5205.102078,-5205.102078,-5205.102078,0,0,0,96728.41546,2026,1
2/1/2026,102233.1765,93305.50276,101599.9877,101651.8638,102859.4806,-4927.110326,-4927.110326,-4927.110326,30.85637091,30.85637091,30.85637091,-4957.966697,-4957.966697,-4957.966697,0,0,0,97306.06619,2026,2
2/8/2026,102331.9614,93570.86013,102708.3326,101716.0565,103009.8005,-4126.751781,-4126.751781,-4126.751781,247.7751345,247.7751345,247.7751345,-4374.526915,-4374.526915,-4374.526915,0,0,0,98205.20963,2026,2
2/15/2026,102430.7463,95257.5695,104228.5869,101783.0336,103139.9991,-2750.002496,-2750.002496,-2750.002496,722.6212487,722.6212487,722.6212487,-3472.623745,-3472.623745,-3472.623745,0,0,0,99680.74382,2026,2
2/22/2026,102529.5312,95585.11159,104301.3604,101846.0624,103273.2985,-2440.904771,-2440.904771,-2440.904771,184.0458974,184.0458974,184.0458974,-2624.950669,-2624.950669,-2624.950669,0,0,0,100088.6264,2026,2
3/1/2026,102628.3161,96142.43351,105073.5224,101906.8911,103414.4735,-2092.817657,-2092.817657,-2092.817657,-135.8755565,-135.8755565,-135.8755565,-1956.942101,-1956.942101,-1956.942101,0,0,0,100535.4985,2026,3
3/8/2026,102727.101,96017.63093,105540.4425,101978.1839,103545.0794,-1866.92134,-1866.92134,-1866.92134,-560.7701061,-560.7701061,-560.7701061,-1306.151234,-1306.151234,-1306.151234,0,0,0,100860.1797,2026,3
3/15/2026,102825.8859,97312.79876,106464.5387,102029.5994,103678.0867,-778.1027687,-778.1027687,-778.1027687,-119.7435984,-119.7435984,-119.7435984,-658.3591703,-658.3591703,-658.3591703,0,0,0,102047.7831,2026,3
